1	1	102	20030101	20030815	1600	20030411	20030411	20030412
1	2	101	20030901	20031215	1600	20030411	20030411	20030412
1	3	102	20031216	20040331	1800	20030411	20030411	20030605
7	1	105	20020901	20021115	1500	20030412	20030412	20030626
7	2	104	20030201	20030331	1600	20030412	20030412	
7	3	103	20030501	20031130	1700	20030412	20030412	20030626
16	1	101	20030901	20031215	1800	20030414	20030414	
10	1	102	20030801	20031030	1500	20030414	20030414	20030414
17	1	101	20030604	20030610	1200	20030605	20030605	20030605
15	1	101	20050203	20050205	2500	20030605	20030605	
24	1	101	20040101	20050102	1500	20030612	20030612	
11	1	101	20040101	20050102	1500	20030612	20030612	
1	4	101	20040101	20050102	1500	20030612	20030612	20030626
2	1	101	20040101	20041231	1300	20030612	20030612	
3	1	101	20040101	20041231	1500	20030612	20030612	
8	1	101	20010101	20020404	1800	20030612	20030612	
8	2	103	20010101	20020404	1400	20030612	20030612	
8	3	104	20010101	20020404	1500	20030612	20030612	
7	4	101	20010101	20020404	2000	20030612	20030612	
7	5	104	20010101	20020404	1900	20030612	20030612	
25	1	101	20061201	20061231	2000	20061209	20061209	
